,order_id,womens_apparel,mens_apparel,youth,jewelry,electronics,shoes,accessories,health_beauty,travel,sporting_goods,etc,books,home,ub_merch_gc
0,4264943517781,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,4267847614549,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2,4247863853141,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,4236153258069,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,4244521779285,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,4232743354453,0,0,0,0,2,0,0,0,0,0,0,0,0,0
6,4325094129749,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,4200653652053,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,4295046856789,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,4289793851477,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,4220499886165,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,4327365050453,0,5,0,0,0,2,0,0,0,0,0,0,0,0
12,4315524104277,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,4237837926485,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,4250652606549,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,4263448772693,1,0,0,0,0,0,0,0,0,0,0,2,0,0
16,4282019414101,0,0,5,0,0,0,0,0,0,0,0,0,0,0
17,4329489236053,0,0,0,0,2,0,0,0,0,0,0,0,0,0
18,4322879766613,0,7,0,0,0,0,0,0,0,0,0,0,0,0
19,4195896197205,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,4218320060501,1,1,0,0,0,0,2,0,0,0,0,1,0,0
21,4303973056597,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,4236244058197,0,5,2,0,0,0,0,0,0,0,0,0,0,0
23,4207385739349,10,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4289718517845,3,0,1,0,2,0,0,0,0,0,0,0,0,0
25,4234921902165,2,0,1,0,0,0,0,0,0,0,0,0,0,0
26,4245836890197,1,2,1,0,0,0,1,0,0,0,0,0,0,0
27,4253186654293,0,0,0,0,2,0,0,0,0,0,0,0,0,0
28,4277593210965,0,0,0,0,1,0,0,0,0,0,0,0,0,0
